Book-Rating,ISBN,User-ID
8.0,0553214187,152942
7.0,0060629169,43173
10.0,0812522966,110483
7.0,0449210677,35859
8.0,0064451232,23768
10.0,0446610038,9492
10.0,0515121495,169243
9.0,0312187459,99347
10.0,0440136482,6611
8.0,0590460293,226616
8.0,0517562545,130554
9.0,0970215207,93047
8.0,0743211189,18323
3.0,0446601993,47581
10.0,1594142203,98391
9.0,1902852249,206026
10.0,0141001828,150979
7.0,0553560468,12569
8.0,031285630X,85297
6.0,0553569031,17449
5.0,0444853367,169644
9.0,0802150241,245371
8.0,3792000261,80555
7.0,0151005141,11676
9.0,0515131121,98391
7.0,0373484887,153718
7.0,8431015764,146649
2.0,0971880107,237264
8.0,0751507733,11676
8.0,0743424123,88937
7.0,0844663883,23902
7.0,0062500260,68943
7.0,0460871439,219951
10.0,0061043966,265115
5.0,0684827034,140358
7.0,0671036505,22338
8.0,084395048X,98391
5.0,0515132020,41781
10.0,155166562X,231264
5.0,1889910171,16795
7.0,0441304834,9613
7.0,0312317441,104569
8.0,1565924347,87141
8.0,0380768127,52199
6.0,0385504209,239108
7.0,0812576403,207385
6.0,0060932759,226548
8.0,0553583085,98391
4.0,0425146383,240144
8.0,0061043370,23199
6.0,0061031410,148590
9.0,0345443055,226418
10.0,3426671034,116006
5.0,1558583270,189835
5.0,0399151648,223505
10.0,0140430059,140863
6.0,0373227019,93711
9.0,0307231372,212965
10.0,0316777722,25409
9.0,0140620664,36003
6.0,0553583913,12515
9.0,0373026803,153662
8.0,0385497946,248718
8.0,0141306971,92399
9.0,034536676X,261585
5.0,2070369617,276487
6.0,1565124219,89602
7.0,0440208300,81064
6.0,0060085444,6563
7.0,0345439104,145959
7.0,0914610007,149908
9.0,0446364266,16138
5.0,0876854439,137816
9.0,0380789035,263691
7.0,0330328743,175370
8.0,0804119783,98391
5.0,0590281542,185233
10.0,006440188X,226965
5.0,0446600253,215986
8.0,0380728273,172382
9.0,0684810190,105517
10.0,0007154615,92152
5.0,0886451884,201141
10.0,0440226023,231058
8.0,0553272586,268032
5.0,0671676385,115002
6.0,1550544683,200390
9.0,848460229X,121667
8.0,0385468148,263606
7.0,0061097861,122429
9.0,0380786230,72990
10.0,0310230055,92547
9.0,0312144075,169682
8.0,0446515116,110887
8.0,0316780375,116311
7.0,0671685635,15589
8.0,0895657570,155889
9.0,0943233437,125462
10.0,1877228400,68097
5.0,0761107452,240883
7.0,0805062858,134118
6.0,0316898163,101694
9.0,014038166X,24118
7.0,0752844059,130658
10.0,0679602054,37712
8.0,0446612294,98391
7.0,0156628635,97290
7.0,0446530239,40123
9.0,1891620428,19970
10.0,1552090450,252222
9.0,1400034779,14387
2.0,0586040021,239551
7.0,0445405627,16634
9.0,0500542384,91449
8.0,0515120006,165308
8.0,014100374X,86202
8.0,0941539873,217106
5.0,0140124187,24585
10.0,1568522258,62891
7.0,0886774012,20172
7.0,1890856029,177458
6.0,0446604801,104636
3.0,8495501074,99469
5.0,0375418415,153091
9.0,0025074857,101851
9.0,044021145X,262846
9.0,1559706643,204864
5.0,084423916X,158361
5.0,0451167317,140358
8.0,089526692X,32725
7.0,1400042070,92184
6.0,0684869713,75819
7.0,1578564816,199772
5.0,0806906359,123883
8.0,140003065X,262660
9.0,0345388453,178920
3.0,0394487206,97972
8.0,0552998001,76626
8.0,0671881884,234734
9.0,0061020575,13607
5.0,0380786710,89870
10.0,1591160340,121606
8.0,0670881767,19493
7.0,0671729411,14456
9.0,0717284980,35859
8.0,0140296298,91103
9.0,0843178116,11676
9.0,067974388X,243700
7.0,0743406273,101173
7.0,0140231617,242409
4.0,0671614460,2010
10.0,3442445078,10978
10.0,0399103422,132836
6.0,0345346904,241268
8.0,0385334389,41084
8.0,0452280672,76818
9.0,0316096199,246311
9.0,155670092X,127200
1.0,051512088X,100015
6.0,0684832925,41157
6.0,0345441494,150015
8.0,1569873305,11676
8.0,0553284789,137211
10.0,1576737535,115751
5.0,0385488432,61798
9.0,0061000175,219594
9.0,0451210220,194605
8.0,3442451426,262641
9.0,0439087597,197659
4.0,0971880107,264314
6.0,0345396456,180297
10.0,0764226223,163052
7.0,2070423220,17789
4.0,096138591X,50859
9.0,0375703055,39281
9.0,081297106X,85426
9.0,1559704381,88820
4.0,0786886463,6330
7.0,3423205903,146721
8.0,0316096199,85501
9.0,0451134265,227705
8.0,067165604X,177458
5.0,0486275450,86969
5.0,044012462X,107784
8.0,0316155101,3630
8.0,0142000663,231576
8.0,0385495315,164675
10.0,3822860867,226879
7.0,0140274634,35857
5.0,0394709004,242544
5.0,0553492691,26535
7.0,0671024809,238541
7.0,0345416880,207494
8.0,3453003128,35433
10.0,0515121843,40889
5.0,0373245319,107784
9.0,0399217258,168047
10.0,0345377648,43246
10.0,0345341236,51883
7.0,0300036728,219321
8.0,0316690619,20971
5.0,067087485X,176037
8.0,0380725789,156269
9.0,0887308066,189334
9.0,0671024434,245410
10.0,0671690221,83671
5.0,0375504397,56707
8.0,0671729411,241646
10.0,1570629331,53229
7.0,0933638094,258747
9.0,0743243498,196466
10.0,0393050297,222050
9.0,0312982518,226267
5.0,0451180208,29071
7.0,0671025341,157799
9.0,0399137734,137627
8.0,0743406184,234192
5.0,0156027321,90391
8.0,3822814962,147385
8.0,0399151729,120333
8.0,0440180295,133571
8.0,0380819082,98391
8.0,0934395454,113062
8.0,0449214540,26583
7.0,0061011894,127233
7.0,0679432477,241944
9.0,0962500631,216444
8.0,0307119785,35859
8.0,0140067477,89851
7.0,0756400813,110483
7.0,0060906782,68943
9.0,0446611085,269386
5.0,0156027453,8066
6.0,1551669188,55665
3.0,0553577565,86145
8.0,0451526473,224923
9.0,0316710571,98391
4.0,0373288107,112001
8.0,0451212037,98391
8.0,0836218620,171118
8.0,044022103X,95359
10.0,9723704102,17777
7.0,0380704498,158567
8.0,0375703861,13995
9.0,0451459792,98391
8.0,0440226430,277903
4.0,325706277X,6654
10.0,0394836103,59504
8.0,0440235634,156269
5.0,0679832378,37929
6.0,2266004123,137384
5.0,0553290266,276307
10.0,0451191145,165424
10.0,0439136369,10560
8.0,0449215024,51742
7.0,0967511119,60244
8.0,0446607657,76803
10.0,0679438327,231081
7.0,0312865031,93832
10.0,0822009218,66556
9.0,0375725849,201290
10.0,0425168468,147900
7.0,0553577689,16966
8.0,0441304834,152698
9.0,0140244824,78778
7.0,0330306731,15172
5.0,0440235510,139141
4.0,0399135243,11676
10.0,0440211263,126374
5.0,0451207521,217318
8.0,0894805770,86932
5.0,0679642609,189835
10.0,0525441492,153662
8.0,0380795981,265115
8.0,0025180207,123700
7.0,0671042572,130923
8.0,0671878697,230446
7.0,0449908798,38482
10.0,0765302195,98391
9.0,1550500155,25804
6.0,0922233012,42143
5.0,0061040282,83637
8.0,0517577631,173280
10.0,0060931388,161936
8.0,0312070098,35859
8.0,0373690991,98391
9.0,1564581349,168144
6.0,0399239901,246513
10.0,0876122764,114700
6.0,0312088485,264657
8.0,0399144927,126196
7.0,0689860064,56447
5.0,0764531263,239106
7.0,3821815213,11676
8.0,0553265741,11676
4.0,3453863593,261214
6.0,0449209709,219321
5.0,0446600660,245827
10.0,0380813750,238475
7.0,074341232X,148586
7.0,0821769359,240756
7.0,3596259347,182731
10.0,0156001454,111133
9.0,0842329218,68984
7.0,0767915747,92498
10.0,0590458469,116041
6.0,0440407923,130554
8.0,0425107469,102647
6.0,0440204232,110609
5.0,0743225422,173860
9.0,0886777011,277662
10.0,1563891387,268300
8.0,0425183378,23871
7.0,0451172817,169006
10.0,0804107904,52614
5.0,0749918241,96113
8.0,0449211282,145538
9.0,0060158638,13279
7.0,8440637551,119115
10.0,1551108631,46269
4.0,0515112798,265115
8.0,0060528370,57302
10.0,0767903854,74665
9.0,1400046610,250459
4.0,0399151451,136735
7.0,0451204956,254377
7.0,0345390458,136326
8.0,0399147799,265685
9.0,155166674X,104144
6.0,0679735771,43864
9.0,0921285027,83239
9.0,051744898X,142524
9.0,0812522397,32569
10.0,0312924585,268300
10.0,0689317204,266510
10.0,068485497X,37536
6.0,3442720702,171942
10.0,0874869870,105515
9.0,0765304368,196160
5.0,052594558X,238788
8.0,0440211727,17453
10.0,0446672211,8220
5.0,0373122616,102674
6.0,1880656612,92498
6.0,0425178102,243814
10.0,0486264785,185722
5.0,0440234743,110558
9.0,0684831546,211391
9.0,0440414806,116803
8.0,0060175400,194639
1.0,0609800906,11601
4.0,0670838675,106280
10.0,0330262130,234328
10.0,0930289595,163202
9.0,0740700103,233250
8.0,0892818042,83671
8.0,0553260111,267494
9.0,0590457594,232665
7.0,0061053104,135919
6.0,055329315X,68491
8.0,8420485276,80849
6.0,0767903579,265192
9.0,0425158616,227705
9.0,0316666343,204864
7.0,0553285890,60707
7.0,0671689088,259620
6.0,0515126772,143965
7.0,0446611212,192822
6.0,0553259202,223231
10.0,0807002178,206534
10.0,0345362861,261578
7.0,093557641X,126609
8.0,0375724370,51742
8.0,0312245637,197659
8.0,0452282829,135873
6.0,1565121929,184299
5.0,0671022776,35197
10.0,1887128964,154346
10.0,097188191X,84299
9.0,0671693816,99347
8.0,0440225825,120312
10.0,0671042564,29915
7.0,0380810158,88677
7.0,0312155158,155328
6.0,0515130389,30555
10.0,1861082150,109949
7.0,0425154556,101606
6.0,0312865090,100815
8.0,1573220221,11676
8.0,0671452177,221445
6.0,0060393211,21618
10.0,0140298479,165512
10.0,014028009X,132083
8.0,0316666009,205495
7.0,006019491X,276401
10.0,0440226708,40943
2.0,031242082X,11676
10.0,0399501487,250300
10.0,0671647008,208555
10.0,1561840092,68518
9.0,0671510053,216444
10.0,0765345048,2033
7.0,8420646326,116036
8.0,0140010270,27581
9.0,0385512104,229409
7.0,0452263093,212551
10.0,1573247022,207000
6.0,037550186X,208674
7.0,0688091180,136010
10.0,0440237025,17965
8.0,0811201880,23902
10.0,0452279690,388
7.0,0449244288,273960
7.0,0553351923,98887
7.0,0886777844,81560
10.0,0380002930,78755
5.0,0671529420,226553
10.0,0349108560,218411
7.0,0505522551,251170
10.0,0140094296,172742
10.0,044651652X,250709
6.0,0887432654,31556
1.0,0590426052,11676
8.0,3257230478,104360
10.0,1573241962,80929
10.0,0590537733,205735
6.0,0670892963,152409
10.0,0553272535,51347
9.0,1579549004,98391
8.0,0812548418,239609
10.0,0312181213,19493
6.0,0316678104,199396
9.0,0156319527,37712
9.0,0345449002,50859
8.0,0060927542,113519
10.0,0061099732,213641
4.0,9706611509,89891
8.0,0440498058,275264
5.0,0425161722,250709
8.0,0553278134,93377
10.0,0060506695,98391
9.0,0061011975,179433
7.0,0140178414,43246
7.0,1853260134,27593
9.0,0393022498,183995
8.0,0449910237,89292
10.0,0312291639,68156
5.0,0061040770,114368
9.0,0440224624,128045
7.0,0375701427,148109
8.0,0385506686,145256
8.0,0670821969,86189
4.0,0671525662,138644
7.0,0515123471,225912
7.0,8420646202,225659
8.0,0971756406,93047
7.0,0345438329,264311
5.0,0385031386,252820
8.0,0312239297,199092
9.0,0930289218,171118
8.0,0553580221,247129
8.0,0060972122,100906
6.0,0312943326,152568
8.0,0743246071,274393
7.0,0882890794,213293
7.0,0743439651,114544
7.0,0875420087,98023
7.0,0671775391,37950
2.0,0373763999,127779
10.0,0140437878,76499
10.0,3548254152,73464
6.0,8485866029,36369
9.0,0140433627,230522
8.0,0811805905,128835
5.0,0486297136,146356
7.0,0679403914,160022
10.0,0834800799,163202
8.0,1853260134,98893
6.0,051759384X,249894
8.0,1853260150,162738
10.0,0809463490,224525
9.0,0440219078,236058
10.0,0156838389,60419
10.0,0886773784,2033
8.0,3404142942,11676
5.0,032108764X,268217
5.0,0517566249,125872
6.0,0517591723,97920
6.0,0446523364,261301
3.0,0312262191,212923
8.0,0451172817,159506
10.0,0439188776,211353
8.0,0689823797,65663
8.0,0312966091,136382
8.0,0449216276,110483
10.0,0671525808,270897
7.0,8423333140,79639
7.0,0345378490,203161
8.0,0060560754,7125
10.0,1567408567,75081
7.0,0743477081,117722
10.0,0439064872,100004
4.0,0385333293,135609
10.0,0449006522,129489
8.0,1573245577,121170
8.0,4889960929,183758
8.0,0060725648,193750
10.0,0618002219,68383
8.0,0679753826,164164
7.0,0380803232,268482
10.0,0060193395,184299
9.0,1587990822,263357
8.0,0394746651,248282
7.0,080411160X,192428
10.0,8817106100,176128
7.0,0060162945,142357
8.0,0747553769,94730
9.0,1854103318,118434
8.0,0767902521,258482
8.0,0425183009,165609
9.0,0440220602,82699
7.0,1400060265,52175
8.0,0091800579,246776
9.0,0312311508,218552
10.0,0553264567,249071
7.0,0451523733,42883
7.0,0553211978,81263
5.0,156025307X,9188
9.0,037576092X,175536
7.0,0679743464,40337
8.0,014044131X,222949
10.0,0743436164,233911
10.0,3895430579,132492
8.0,1859580238,141965
5.0,2717208720,142649
10.0,0440472105,181011
9.0,0553283685,163319
8.0,0140620753,190384
9.0,0446360732,215852
8.0,0380703882,265972
10.0,0807207543,40943
6.0,042511984X,250614
5.0,0679600477,189835
8.0,0440226104,229723
8.0,1864470119,246798
3.0,058351149X,227444
8.0,0434441074,189516
7.0,0486228258,110267
6.0,051510440X,235105
10.0,0553582755,128438
10.0,0312278586,12917
10.0,078691551X,55490
7.0,0877286183,74801
8.0,0061020656,221732
9.0,0345409639,31391
9.0,0375508260,151553
5.0,0451186702,208018
8.0,1588720306,223525
7.0,0440202043,177688
8.0,0064406334,38660
7.0,0440241073,55799
9.0,0671732277,223735
7.0,0671568175,259380
6.0,0740726854,255699
10.0,3257205155,274111
10.0,0395957907,216211
3.0,0684838966,132347
8.0,0865714010,31008
4.0,0140280510,275956
6.0,0515131210,232131
8.0,0525945008,107465
8.0,3404162366,71967
8.0,0515127833,151104
9.0,0061094129,184196
9.0,1565291468,235098
5.0,0553578588,87964
6.0,0425107469,21930
5.0,0689714718,171406
8.0,0380803097,125014
10.0,0877542228,56399
9.0,0140042598,192353
8.0,0380788500,165319
10.0,0345440781,98440
8.0,0380014300,49920
10.0,0316769576,11601
7.0,0679760229,101305
8.0,0600316815,216444
7.0,0671026704,277589
10.0,0064400557,223190
7.0,0553275976,127615
9.0,0521338573,203075
5.0,0399139540,208468
6.0,0743444965,94807
8.0,0449213773,202564
7.0,1551667215,43910
7.0,0312282990,4900
7.0,0553234595,100846
9.0,1585673080,240333
9.0,0517122707,43901
7.0,044023722X,24525
8.0,0060928336,217971
5.0,0515124702,87964
8.0,0451528247,103742
8.0,0679883568,63452
8.0,0340657987,277526
7.0,0312287666,104308
7.0,1565042115,101851
7.0,0151004404,173213
7.0,0679740104,24348
8.0,0451203070,35857
9.0,0553212737,157068
7.0,0061099481,164301
5.0,0373031041,25981
6.0,0671693646,144241
10.0,1414033435,64356
7.0,044166251X,224768
7.0,3518115073,250033
7.0,0807508527,77772
7.0,0590446304,98904
5.0,1931514933,243077
8.0,0553579908,138813
4.0,342677402X,158404
8.0,0136440711,53545
7.0,0399501487,35445
6.0,0440226406,96936
1.0,0394579453,233911
7.0,0679988106,11676
9.0,2020239302,222912
10.0,0553572997,22200
10.0,0517161257,190298
7.0,0804119511,93426
8.0,0892861002,123094
9.0,0425174484,251394
8.0,0712670726,262998
8.0,0449205878,275673
9.0,0441478123,48355
8.0,0440202116,40505
3.0,0316666343,223391
10.0,0380627035,150896
10.0,0345417941,43842
5.0,2070744833,222912
4.0,0061082163,163973
7.0,0425083837,66574
10.0,014143984X,95576
10.0,0738703486,205943
5.0,084394854X,182085
6.0,0345422589,37950
3.0,3466343941,252235
8.0,055308920X,146803
10.0,0679734775,18006
7.0,0006552390,236058
6.0,055213841X,81560
8.0,0441003257,95431
5.0,0735201390,242409
7.0,0515119784,161662
4.0,3499169231,40584
8.0,1563053144,32773
8.0,0440215285,123981
8.0,0812551478,198216
5.0,3442455707,97598
7.0,078670621X,232971
8.0,0671042262,16795
6.0,014038572X,60244
10.0,1551666650,171082
8.0,0451525817,269566
5.0,0679735666,64010
10.0,0553274325,43157
5.0,1575661543,89391
10.0,0670835382,149843
8.0,0449212602,261829
7.0,0060931221,89602
10.0,0440941407,268932
10.0,0671027360,53456
5.0,0380818655,40187
8.0,0679738711,62009
10.0,0563371692,108773
5.0,006080615X,94951
8.0,0064406962,8801
7.0,1860192769,11676
10.0,0671042262,35836
8.0,0816032661,182025
8.0,0553584979,269321
8.0,0156628708,208302
6.0,1567185525,272573
9.0,0140440178,68478
5.0,0449213714,165758
8.0,0316782653,8454
8.0,0785269290,71884
8.0,1551666251,23582
5.0,0061098299,116241
9.0,0140124373,115392
9.0,0451524616,60244
8.0,0300089023,52242
10.0,0553803409,156214
9.0,0061059072,125774
6.0,0140298479,229011
9.0,0441302742,110973
8.0,0515128546,27813
7.0,0345470621,7125
10.0,1888052341,221687
6.0,0446603856,249229
9.0,0226301516,114868
7.0,0449911608,213779
7.0,3499108518,214673
4.0,044023722X,233480
10.0,0590408844,262470
7.0,2290315591,75442
4.0,0441790348,271792
8.0,0553269577,241537
7.0,0670032514,29413
10.0,044022330x,203844
8.0,0312034318,191188
8.0,0804106436,230522
7.0,0446353426,180042
8.0,8437600723,14618
5.0,0670858692,168816
5.0,0449227472,55187
5.0,037310989X,26535
6.0,0263823377,163761
9.0,0877017883,165269
7.0,0827358253,101851
9.0,0671003755,2375
10.0,0385504209,242646
10.0,0767903595,110294
8.0,0061000019,113212
9.0,0451124340,89852
9.0,0679454446,164549
9.0,0878162216,208406
5.0,0446360589,239808
5.0,0385314280,147838
5.0,0590332368,107301
8.0,0345418824,56447
7.0,0804111898,119418
7.0,0415906288,141109
8.0,1565122968,162639
5.0,0140011323,228789
7.0,0679746048,44611
10.0,0517082454,81609
6.0,0312420099,166399
10.0,0688149790,143163
4.0,3451050676,54828
5.0,1584650028,9357
10.0,0515116750,185254
8.0,0449001954,735
5.0,0743467523,257493
8.0,0671000853,11676
5.0,0060675322,275631
6.0,0812575717,207275
7.0,0061092002,32246
